Wall time,Step,Value
1551052256.299765,1,0.5481581091880798
1551052269.2708926,2,0.5722706317901611
1551052281.9398925,3,0.6331701874732971
1551052294.3508246,4,0.8939738869667053
1551052306.5335171,5,0.5503039956092834
1551052318.3938735,6,0.45369377732276917
1551052330.309342,7,0.18831685185432434
1551052342.3018596,8,0.22417019307613373
1551052354.0456305,9,0.2188446819782257
1551052366.23063,10,0.21721862256526947
1551052378.0035968,11,0.24263425171375275
1551052389.7935972,12,0.35184362530708313
1551052401.549598,13,0.12219620496034622
1551052413.5395975,14,0.14224733412265778
1551052425.3795958,15,0.031996436417102814
1551052437.172596,16,0.18813787400722504
1551052449.0325966,17,0.20755042135715485
1551052460.8828008,18,0.18275006115436554
1551052472.5928006,19,0.20664085447788239
1551052484.3147998,20,0.10262059420347214
1551052496.0703542,21,0.0781949907541275
1551052508.255355,22,0.20266708731651306
1551052520.073352,23,0.0982896238565445
1551052531.946012,24,0.2068754881620407
1551052543.8540156,25,0.21963240206241608
1551052555.7250142,26,0.38685664534568787
1551052567.5295627,27,0.15637622773647308
1551052579.3485618,28,0.08222964406013489
1551052591.188563,29,0.06494447588920593
1551052602.9405634,30,0.1859664022922516
1551052614.8265622,31,0.14090004563331604
1551052626.7898633,32,0.29722678661346436
1551052638.6388617,33,0.45435842871665955
1551052650.7243655,34,0.09270919859409332
1551052662.6782658,35,0.03671145439147949
1551052674.571266,36,0.04394807666540146
1551052686.4066188,37,0.207703098654747
1551052698.190619,38,0.15085859596729279
1551052709.8586173,39,0.28886064887046814
1551052721.5986176,40,0.03312189131975174
1551052733.3988357,41,0.1883457452058792
1551052745.5018356,42,0.04358214512467384
1551052757.6158347,43,0.04798222705721855
1551052769.445907,44,0.15202471613883972
1551052781.2771008,45,0.06270727515220642
1551052793.0801547,46,0.12808628380298615
1551052805.1596587,47,0.0504760816693306
1551052816.959658,48,0.18792080879211426
1551052828.9577537,49,0.07526809722185135
1551052840.7727523,50,0.061979930847883224
1551052852.6937828,51,0.13248755037784576
1551052864.508782,52,0.14640191197395325
1551052876.2277815,53,0.24303708970546722
1551052888.042783,54,0.14061373472213745
1551052899.7797809,55,0.11557172983884811
1551052911.56278,56,0.03133103996515274
1551052923.3287807,57,0.08024176955223083
1551052935.048782,58,0.16165556013584137
1551052946.8227828,59,0.2028692364692688
1551052958.540782,60,0.0439862422645092
1551052970.2467823,61,0.009232969954609871
1551052981.9117842,62,0.0731920674443245
1551052993.8757825,63,0.1677892655134201
1551053005.928782,64,0.2278493493795395
1551053017.719782,65,0.042237140238285065
1551053029.513783,66,0.101030632853508
1551053041.3047812,67,0.0684889480471611
1551053053.3857827,68,0.03512723371386528
1551053065.4597833,69,0.06776010990142822
1551053077.2057834,70,0.14951467514038086
1551053089.000782,71,0.12058918923139572
1551053100.819783,72,0.23149749636650085
1551053112.9257824,73,0.29059919714927673
1551053124.7827826,74,0.03803612291812897
1551053136.5287828,75,0.1265677511692047
1551053148.340782,76,0.0421367771923542
1551053160.1047819,77,0.0787353441119194
1551053171.871781,78,0.1159316822886467
1551053183.9267821,79,0.09346184134483337
1551053195.733781,80,0.026670536026358604
1551053207.8007817,81,0.2643851041793823
1551053219.515782,82,0.0794822946190834
1551053231.517781,83,0.05247093737125397
1551053243.1097825,84,0.04025871679186821
1551053255.1887825,85,0.15912184119224548
1551053266.910783,86,0.09119757264852524
1551053279.0127826,87,0.10664048790931702
1551053290.808781,88,0.19844020903110504
1551053302.5467823,89,0.1014600545167923
1551053314.3617823,90,0.2287159115076065
1551053326.1787813,91,0.3081105947494507
1551053338.000782,92,0.08572612702846527
1551053349.774783,93,0.026436710730195045
1551053361.90378,94,0.17374607920646667
1551053373.578783,95,0.15754394233226776
1551053385.394781,96,0.10473962873220444
1551053397.451782,97,0.02004305273294449
1551053409.584782,98,0.029260678216814995
1551053421.3457828,99,0.03133765235543251
1551053433.0797827,100,0.2226918786764145
1551053444.8017833,101,0.2067108154296875
1551053456.8027809,102,0.1889190971851349
1551053468.4967823,103,0.07540228217840195
1551053480.1167805,104,0.060807403177022934
1551053491.8697824,105,0.14448224008083344
1551053503.9097822,106,0.09943792223930359
1551053515.7307818,107,0.48827120661735535
1551053527.4597812,108,0.29849281907081604
1551053539.2657807,109,0.02627744898200035
1551053551.0017812,110,0.11295711994171143
1551053562.731783,111,0.06515662372112274
1551053574.772782,112,0.06884346157312393
1551053586.8767815,113,0.12356159836053848
1551053598.941781,114,0.11332795023918152
1551053611.0337832,115,0.14301392436027527
1551053622.7797837,116,0.1823480874300003
